type,start_msc,end_msc,identity
MAINTENANCE_ENTRY_BLOCK,1618529400000,1618530900000,DAILY_SERVER_CLOSE_20210416_0000_0005
MAINTENANCE_FORCE_FLAT,1618530900000,1618531500000,DAILY_SERVER_CLOSE_20210416_0000_0005
MAINTENANCE_RECOVERY,1618531500000,1618532400000,DAILY_SERVER_CLOSE_20210416_0000_0005
MAINTENANCE_ENTRY_BLOCK,1618615800000,1618617300000,DAILY_SERVER_CLOSE_20210417_0000_0005
MAINTENANCE_FORCE_FLAT,1618617300000,1618617900000,DAILY_SERVER_CLOSE_20210417_0000_0005
MAINTENANCE_RECOVERY,1618617900000,1618618800000,DAILY_SERVER_CLOSE_20210417_0000_0005
MAINTENANCE_ENTRY_BLOCK,1618702200000,1618703700000,DAILY_SERVER_CLOSE_20210418_0000_0005
MAINTENANCE_ENTRY_BLOCK,1618702740000,1618704240000,SUNDAY_SERVER_CLOSE_20210418_0009_0019
MAINTENANCE_FORCE_FLAT,1618703700000,1618704300000,DAILY_SERVER_CLOSE_20210418_0000_0005
MAINTENANCE_FORCE_FLAT,1618704240000,1618705140000,SUNDAY_SERVER_CLOSE_20210418_0009_0019
MAINTENANCE_RECOVERY,1618704300000,1618705200000,DAILY_SERVER_CLOSE_20210418_0000_0005
MAINTENANCE_RECOVERY,1618705140000,1618706040000,SUNDAY_SERVER_CLOSE_20210418_0009_0019
MAINTENANCE_ENTRY_BLOCK,1618788600000,1618790100000,DAILY_SERVER_CLOSE_20210419_0000_0005
MAINTENANCE_FORCE_FLAT,1618790100000,1618790700000,DAILY_SERVER_CLOSE_20210419_0000_0005
MAINTENANCE_RECOVERY,1618790700000,1618791600000,DAILY_SERVER_CLOSE_20210419_0000_0005
MAINTENANCE_ENTRY_BLOCK,1618875000000,1618876500000,DAILY_SERVER_CLOSE_20210420_0000_0005
MAINTENANCE_FORCE_FLAT,1618876500000,1618877100000,DAILY_SERVER_CLOSE_20210420_0000_0005
MAINTENANCE_RECOVERY,1618877100000,1618878000000,DAILY_SERVER_CLOSE_20210420_0000_0005
MAINTENANCE_ENTRY_BLOCK,1618961400000,1618962900000,DAILY_SERVER_CLOSE_20210421_0000_0005
MAINTENANCE_FORCE_FLAT,1618962900000,1618963500000,DAILY_SERVER_CLOSE_20210421_0000_0005
MAINTENANCE_RECOVERY,1618963500000,1618964400000,DAILY_SERVER_CLOSE_20210421_0000_0005
KINGEA_ENTRY_BLACKOUT,1619024400000,1619027100000,840200001:149768
BROKER_HMR_SCHEDULED,1619025300000,1619026500000,840200001:149768
MAINTENANCE_ENTRY_BLOCK,1619047800000,1619049300000,DAILY_SERVER_CLOSE_20210422_0000_0005
MAINTENANCE_FORCE_FLAT,1619049300000,1619049900000,DAILY_SERVER_CLOSE_20210422_0000_0005
MAINTENANCE_RECOVERY,1619049900000,1619050800000,DAILY_SERVER_CLOSE_20210422_0000_0005
KINGEA_ENTRY_BLACKOUT,1619103600000,1619106300000,840140001:150001
BROKER_HMR_SCHEDULED,1619104500000,1619105700000,840140001:150001
KINGEA_ENTRY_BLACKOUT,1619109000000,1619111700000,840120001:140943
BROKER_HMR_SCHEDULED,1619109900000,1619111100000,840120001:140943
MAINTENANCE_ENTRY_BLOCK,1619134200000,1619135700000,DAILY_SERVER_CLOSE_20210423_0000_0005
MAINTENANCE_FORCE_FLAT,1619135700000,1619136300000,DAILY_SERVER_CLOSE_20210423_0000_0005
MAINTENANCE_RECOVERY,1619136300000,1619137200000,DAILY_SERVER_CLOSE_20210423_0000_0005
KINGEA_ENTRY_BLACKOUT,1619194500000,1619197200000,840500001:150391
KINGEA_ENTRY_BLACKOUT,1619194500000,1619197200000,840500002:150392
BROKER_HMR_SCHEDULED,1619195400000,1619196600000,840500001:150391
BROKER_HMR_SCHEDULED,1619195400000,1619196600000,840500002:150392
KINGEA_ENTRY_BLACKOUT,1619195400000,1619198100000,840020008:139207
BROKER_HMR_SCHEDULED,1619196300000,1619197500000,840020008:139207
MAINTENANCE_ENTRY_BLOCK,1619220600000,1619222100000,DAILY_SERVER_CLOSE_20210424_0000_0005
MAINTENANCE_FORCE_FLAT,1619222100000,1619222700000,DAILY_SERVER_CLOSE_20210424_0000_0005
MAINTENANCE_RECOVERY,1619222700000,1619223600000,DAILY_SERVER_CLOSE_20210424_0000_0005
MAINTENANCE_ENTRY_BLOCK,1619307000000,1619308500000,DAILY_SERVER_CLOSE_20210425_0000_0005
MAINTENANCE_ENTRY_BLOCK,1619307540000,1619309040000,SUNDAY_SERVER_CLOSE_20210425_0009_0019
MAINTENANCE_FORCE_FLAT,1619308500000,1619309100000,DAILY_SERVER_CLOSE_20210425_0000_0005
MAINTENANCE_FORCE_FLAT,1619309040000,1619309940000,SUNDAY_SERVER_CLOSE_20210425_0009_0019
MAINTENANCE_RECOVERY,1619309100000,1619310000000,DAILY_SERVER_CLOSE_20210425_0000_0005
MAINTENANCE_RECOVERY,1619309940000,1619310840000,SUNDAY_SERVER_CLOSE_20210425_0009_0019
MAINTENANCE_ENTRY_BLOCK,1619393400000,1619394900000,DAILY_SERVER_CLOSE_20210426_0000_0005
MAINTENANCE_FORCE_FLAT,1619394900000,1619395500000,DAILY_SERVER_CLOSE_20210426_0000_0005
MAINTENANCE_RECOVERY,1619395500000,1619396400000,DAILY_SERVER_CLOSE_20210426_0000_0005
KINGEA_ENTRY_BLACKOUT,1619449200000,1619451900000,840020013:139267
BROKER_HMR_SCHEDULED,1619450100000,1619451300000,840020013:139267
MAINTENANCE_ENTRY_BLOCK,1619479800000,1619481300000,DAILY_SERVER_CLOSE_20210427_0000_0005
MAINTENANCE_FORCE_FLAT,1619481300000,1619481900000,DAILY_SERVER_CLOSE_20210427_0000_0005
MAINTENANCE_RECOVERY,1619481900000,1619482800000,DAILY_SERVER_CLOSE_20210427_0000_0005
KINGEA_ENTRY_BLACKOUT,1619541000000,1619543700000,840180002:144721
BROKER_HMR_SCHEDULED,1619541900000,1619543100000,840180002:144721
MAINTENANCE_ENTRY_BLOCK,1619566200000,1619567700000,DAILY_SERVER_CLOSE_20210428_0000_0005
MAINTENANCE_FORCE_FLAT,1619567700000,1619568300000,DAILY_SERVER_CLOSE_20210428_0000_0005
MAINTENANCE_RECOVERY,1619568300000,1619569200000,DAILY_SERVER_CLOSE_20210428_0000_0005
KINGEA_ENTRY_BLACKOUT,1619629200000,1619631900000,840200001:150071
BROKER_HMR_SCHEDULED,1619630100000,1619631300000,840200001:150071
KINGEA_ENTRY_BLACKOUT,1619641800000,1619644500000,840050014:135478
BROKER_HMR_SCHEDULED,1619642700000,1619643900000,840050014:135478
KINGEA_ENTRY_BLACKOUT,1619643600000,1619646300000,840050018:135479
BROKER_HMR_SCHEDULED,1619644500000,1619645700000,840050018:135479
MAINTENANCE_ENTRY_BLOCK,1619652600000,1619654100000,DAILY_SERVER_CLOSE_20210429_0000_0005
MAINTENANCE_FORCE_FLAT,1619654100000,1619654700000,DAILY_SERVER_CLOSE_20210429_0000_0005
MAINTENANCE_RECOVERY,1619654700000,1619655600000,DAILY_SERVER_CLOSE_20210429_0000_0005
KINGEA_ENTRY_BLACKOUT,1619708400000,1619711100000,840010007:138584
KINGEA_ENTRY_BLACKOUT,1619708400000,1619711100000,840010018:138643
KINGEA_ENTRY_BLACKOUT,1619708400000,1619711100000,840140001:150002
BROKER_HMR_SCHEDULED,1619709300000,1619710500000,840010007:138584
BROKER_HMR_SCHEDULED,1619709300000,1619710500000,840010018:138643
BROKER_HMR_SCHEDULED,1619709300000,1619710500000,840140001:150002
MAINTENANCE_ENTRY_BLOCK,1619739000000,1619740500000,DAILY_SERVER_CLOSE_20210430_0000_0005
MAINTENANCE_FORCE_FLAT,1619740500000,1619741100000,DAILY_SERVER_CLOSE_20210430_0000_0005
MAINTENANCE_RECOVERY,1619741100000,1619742000000,DAILY_SERVER_CLOSE_20210430_0000_0005
KINGEA_ENTRY_BLACKOUT,1619794800000,1619797500000,840010001:138513
KINGEA_ENTRY_BLACKOUT,1619794800000,1619797500000,840010002:138525
BROKER_HMR_SCHEDULED,1619795700000,1619796900000,840010001:138513
BROKER_HMR_SCHEDULED,1619795700000,1619796900000,840010002:138525
KINGEA_ENTRY_BLACKOUT,1619799300000,1619802000000,840510001:149168
BROKER_HMR_SCHEDULED,1619800200000,1619801400000,840510001:149168
MAINTENANCE_ENTRY_BLOCK,1619825400000,1619826900000,DAILY_SERVER_CLOSE_20210501_0000_0005
MAINTENANCE_FORCE_FLAT,1619826900000,1619827500000,DAILY_SERVER_CLOSE_20210501_0000_0005
MAINTENANCE_RECOVERY,1619827500000,1619828400000,DAILY_SERVER_CLOSE_20210501_0000_0005
MAINTENANCE_ENTRY_BLOCK,1619911800000,1619913300000,DAILY_SERVER_CLOSE_20210502_0000_0005
MAINTENANCE_ENTRY_BLOCK,1619912340000,1619913840000,SUNDAY_SERVER_CLOSE_20210502_0009_0019
MAINTENANCE_FORCE_FLAT,1619913300000,1619913900000,DAILY_SERVER_CLOSE_20210502_0000_0005
MAINTENANCE_FORCE_FLAT,1619913840000,1619914740000,SUNDAY_SERVER_CLOSE_20210502_0009_0019
MAINTENANCE_RECOVERY,1619913900000,1619914800000,DAILY_SERVER_CLOSE_20210502_0000_0005
MAINTENANCE_RECOVERY,1619914740000,1619915640000,SUNDAY_SERVER_CLOSE_20210502_0009_0019
MAINTENANCE_ENTRY_BLOCK,1619998200000,1619999700000,DAILY_SERVER_CLOSE_20210503_0000_0005
MAINTENANCE_FORCE_FLAT,1619999700000,1620000300000,DAILY_SERVER_CLOSE_20210503_0000_0005
MAINTENANCE_RECOVERY,1620000300000,1620001200000,DAILY_SERVER_CLOSE_20210503_0000_0005
KINGEA_ENTRY_BLACKOUT,1620058500000,1620061200000,840500001:150898
BROKER_HMR_SCHEDULED,1620059400000,1620060600000,840500001:150898
KINGEA_ENTRY_BLACKOUT,1620059400000,1620062100000,840040001:142359
KINGEA_ENTRY_BLACKOUT,1620059400000,1620062100000,840040002:142371
BROKER_HMR_SCHEDULED,1620060300000,1620061500000,840040001:142359
BROKER_HMR_SCHEDULED,1620060300000,1620061500000,840040002:142371
KINGEA_ENTRY_BLACKOUT,1620075000000,1620077700000,840050022:151401
BROKER_HMR_SCHEDULED,1620075900000,1620077100000,840050022:151401
MAINTENANCE_ENTRY_BLOCK,1620084600000,1620086100000,DAILY_SERVER_CLOSE_20210504_0000_0005
MAINTENANCE_FORCE_FLAT,1620086100000,1620086700000,DAILY_SERVER_CLOSE_20210504_0000_0005
MAINTENANCE_RECOVERY,1620086700000,1620087600000,DAILY_SERVER_CLOSE_20210504_0000_0005
MAINTENANCE_ENTRY_BLOCK,1620171000000,1620172500000,DAILY_SERVER_CLOSE_20210505_0000_0005
MAINTENANCE_FORCE_FLAT,1620172500000,1620173100000,DAILY_SERVER_CLOSE_20210505_0000_0005
MAINTENANCE_RECOVERY,1620173100000,1620174000000,DAILY_SERVER_CLOSE_20210505_0000_0005
KINGEA_ENTRY_BLACKOUT,1620225900000,1620228600000,840190001:143363
BROKER_HMR_SCHEDULED,1620226800000,1620228000000,840190001:143363
KINGEA_ENTRY_BLACKOUT,1620231300000,1620234000000,840500002:150918
BROKER_HMR_SCHEDULED,1620232200000,1620233400000,840500002:150918
KINGEA_ENTRY_BLACKOUT,1620232200000,1620234900000,840040003:142383
KINGEA_ENTRY_BLACKOUT,1620232200000,1620234900000,840040008:142453
BROKER_HMR_SCHEDULED,1620233100000,1620234300000,840040003:142383
BROKER_HMR_SCHEDULED,1620233100000,1620234300000,840040008:142453
KINGEA_ENTRY_BLACKOUT,1620234000000,1620236700000,840200001:150074
BROKER_HMR_SCHEDULED,1620234900000,1620236100000,840200001:150074
MAINTENANCE_ENTRY_BLOCK,1620257400000,1620258900000,DAILY_SERVER_CLOSE_20210506_0000_0005
MAINTENANCE_FORCE_FLAT,1620258900000,1620259500000,DAILY_SERVER_CLOSE_20210506_0000_0005
MAINTENANCE_RECOVERY,1620259500000,1620260400000,DAILY_SERVER_CLOSE_20210506_0000_0005
KINGEA_ENTRY_BLACKOUT,1620313200000,1620315900000,840140001:150792
BROKER_HMR_SCHEDULED,1620314100000,1620315300000,840140001:150792
MAINTENANCE_ENTRY_BLOCK,1620343800000,1620345300000,DAILY_SERVER_CLOSE_20210507_0000_0005
MAINTENANCE_FORCE_FLAT,1620345300000,1620345900000,DAILY_SERVER_CLOSE_20210507_0000_0005
MAINTENANCE_RECOVERY,1620345900000,1620346800000,DAILY_SERVER_CLOSE_20210507_0000_0005
KINGEA_ENTRY_BLACKOUT,1620399600000,1620402300000,840030015:140293
KINGEA_ENTRY_BLACKOUT,1620399600000,1620402300000,840030016:140305
KINGEA_ENTRY_BLACKOUT,1620399600000,1620402300000,840030018:140329
BROKER_HMR_SCHEDULED,1620400500000,1620401700000,840030015:140293
BROKER_HMR_SCHEDULED,1620400500000,1620401700000,840030016:140305
BROKER_HMR_SCHEDULED,1620400500000,1620401700000,840030018:140329
MAINTENANCE_ENTRY_BLOCK,1620430200000,1620431700000,DAILY_SERVER_CLOSE_20210508_0000_0005
MAINTENANCE_FORCE_FLAT,1620431700000,1620432300000,DAILY_SERVER_CLOSE_20210508_0000_0005
MAINTENANCE_RECOVERY,1620432300000,1620433200000,DAILY_SERVER_CLOSE_20210508_0000_0005
MAINTENANCE_ENTRY_BLOCK,1620516600000,1620518100000,DAILY_SERVER_CLOSE_20210509_0000_0005
MAINTENANCE_ENTRY_BLOCK,1620517140000,1620518640000,SUNDAY_SERVER_CLOSE_20210509_0009_0019
MAINTENANCE_FORCE_FLAT,1620518100000,1620518700000,DAILY_SERVER_CLOSE_20210509_0000_0005
MAINTENANCE_FORCE_FLAT,1620518640000,1620519540000,SUNDAY_SERVER_CLOSE_20210509_0009_0019
MAINTENANCE_RECOVERY,1620518700000,1620519600000,DAILY_SERVER_CLOSE_20210509_0000_0005
MAINTENANCE_RECOVERY,1620519540000,1620520440000,SUNDAY_SERVER_CLOSE_20210509_0009_0019
MAINTENANCE_ENTRY_BLOCK,1620603000000,1620604500000,DAILY_SERVER_CLOSE_20210510_0000_0005
MAINTENANCE_FORCE_FLAT,1620604500000,1620605100000,DAILY_SERVER_CLOSE_20210510_0000_0005
MAINTENANCE_RECOVERY,1620605100000,1620606000000,DAILY_SERVER_CLOSE_20210510_0000_0005
MAINTENANCE_ENTRY_BLOCK,1620689400000,1620690900000,DAILY_SERVER_CLOSE_20210511_0000_0005
MAINTENANCE_FORCE_FLAT,1620690900000,1620691500000,DAILY_SERVER_CLOSE_20210511_0000_0005
MAINTENANCE_RECOVERY,1620691500000,1620692400000,DAILY_SERVER_CLOSE_20210511_0000_0005
KINGEA_ENTRY_BLACKOUT,1620750600000,1620753300000,840030021:142646
BROKER_HMR_SCHEDULED,1620751500000,1620752700000,840030021:142646
MAINTENANCE_ENTRY_BLOCK,1620775800000,1620777300000,DAILY_SERVER_CLOSE_20210512_0000_0005
MAINTENANCE_FORCE_FLAT,1620777300000,1620777900000,DAILY_SERVER_CLOSE_20210512_0000_0005
MAINTENANCE_RECOVERY,1620777900000,1620778800000,DAILY_SERVER_CLOSE_20210512_0000_0005
KINGEA_ENTRY_BLACKOUT,1620831600000,1620834300000,840030005:140169
KINGEA_ENTRY_BLACKOUT,1620831600000,1620834300000,840030006:140181
KINGEA_ENTRY_BLACKOUT,1620831600000,1620834300000,840030007:140193
KINGEA_ENTRY_BLACKOUT,1620831600000,1620834300000,840030034:140477
KINGEA_ENTRY_BLACKOUT,1620831600000,1620834300000,840030035:140489
BROKER_HMR_SCHEDULED,1620832500000,1620833700000,840030005:140169
BROKER_HMR_SCHEDULED,1620832500000,1620833700000,840030006:140181
BROKER_HMR_SCHEDULED,1620832500000,1620833700000,840030007:140193
BROKER_HMR_SCHEDULED,1620832500000,1620833700000,840030034:140477
BROKER_HMR_SCHEDULED,1620832500000,1620833700000,840030035:140489
KINGEA_ENTRY_BLACKOUT,1620838800000,1620841500000,840200001:150203
BROKER_HMR_SCHEDULED,1620839700000,1620840900000,840200001:150203
KINGEA_ENTRY_BLACKOUT,1620847800000,1620850500000,840220014:149553
BROKER_HMR_SCHEDULED,1620848700000,1620849900000,840220014:149553
MAINTENANCE_ENTRY_BLOCK,1620862200000,1620863700000,DAILY_SERVER_CLOSE_20210513_0000_0005
MAINTENANCE_FORCE_FLAT,1620863700000,1620864300000,DAILY_SERVER_CLOSE_20210513_0000_0005
MAINTENANCE_RECOVERY,1620864300000,1620865200000,DAILY_SERVER_CLOSE_20210513_0000_0005
KINGEA_ENTRY_BLACKOUT,1620918000000,1620920700000,840030001:140115
KINGEA_ENTRY_BLACKOUT,1620918000000,1620920700000,840140001:150793
BROKER_HMR_SCHEDULED,1620918900000,1620920100000,840030001:140115
BROKER_HMR_SCHEDULED,1620918900000,1620920100000,840140001:150793
KINGEA_ENTRY_BLACKOUT,1620934200000,1620936900000,840220015:149556
BROKER_HMR_SCHEDULED,1620935100000,1620936300000,840220015:149556
MAINTENANCE_ENTRY_BLOCK,1620948600000,1620950100000,DAILY_SERVER_CLOSE_20210514_0000_0005
MAINTENANCE_FORCE_FLAT,1620950100000,1620950700000,DAILY_SERVER_CLOSE_20210514_0000_0005
MAINTENANCE_RECOVERY,1620950700000,1620951600000,DAILY_SERVER_CLOSE_20210514_0000_0005
KINGEA_ENTRY_BLACKOUT,1621004400000,1621007100000,840020010:139232
KINGEA_ENTRY_BLACKOUT,1621004400000,1621007100000,840020011:139244
BROKER_HMR_SCHEDULED,1621005300000,1621006500000,840020010:139232
BROKER_HMR_SCHEDULED,1621005300000,1621006500000,840020011:139244
MAINTENANCE_ENTRY_BLOCK,1621035000000,1621036500000,DAILY_SERVER_CLOSE_20210515_0000_0005
